RecordedDate,ResponseId,Q1,Q2,Q3,A3,A10,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q4_12,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q5_10,Q5_11,Q5_12,Q9_First Click,Q9_Last Click,Q9_Page Submit,Q9_Click Count
Recorded Date,Response ID,Enter your study ID.,"Do you recall which automated aid was provided first? 1=yes, 2=maybe, 3=no","Which automated aid was provided first? 1=more reliable, 2=less reliable",Actual first aid,"Actual decision order. 1=decide first, 2=reject first",More reliable aid. Not at all = 1; Extremely = 7 - The automated aid is deceptive.,More reliable aid. Not at all = 1; Extremely = 7 - The automated aid behaves in an underhanded manner.,"More reliable aid. Not at all = 1; Extremely = 7 - I am suspicious of the automated aid's intent, action or outputs.",More reliable aid. Not at all = 1; Extremely = 7 - I am wary of the automated aid.,More reliable aid. Not at all = 1; Extremely = 7 - The automated aid's actions will have a harmful or injurious outcome.,More reliable aid. Not at all = 1; Extremely = 7 - I am confident in the automated aid.,More reliable aid. Not at all = 1; Extremely = 7 - The automated aid provides security.,"More reliable aid. Not at all = 1; Extremely = 7 - The automated aid has integrity,",More reliable aid. Not at all = 1; Extremely = 7 - The automated aid is dependable.,More reliable aid. Not at all = 1; Extremely = 7 - The automated aid is reliable.,More reliable aid. Not at all = 1; Extremely = 7 - I can trust the automated aid.,More reliable aid. Not at all = 1; Extremely = 7 - I am familiar with the automated aid.,Less reliable aid.  Not at all = 1; Extremely = 7 - The automated aid is deceptive.,Less reliable aid.  Not at all = 1; Extremely = 7 - The automated aid behaves in an underhanded manner.,"Less reliable aid.  Not at all = 1; Extremely = 7 - I am suspicious of the automated aid's intent, action or outputs.",Less reliable aid.  Not at all = 1; Extremely = 7 - I am wary of the automated aid.,Less reliable aid.  Not at all = 1; Extremely = 7 - The automated aid's actions will have a harmful or injurious outcome.,Less reliable aid.  Not at all = 1; Extremely = 7 - I am confident in the automated aid.,Less reliable aid.  Not at all = 1; Extremely = 7 - The automated aid provides security.,"Less reliable aid.  Not at all = 1; Extremely = 7 - The automated aid has integrity,",Less reliable aid.  Not at all = 1; Extremely = 7 - The automated aid is dependable.,Less reliable aid.  Not at all = 1; Extremely = 7 - The automated aid is reliable.,Less reliable aid.  Not at all = 1; Extremely = 7 - I can trust the automated aid.,Less reliable aid.  Not at all = 1; Extremely = 7 - I am familiar with the automated aid.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count
1/24/2019 11:49,R_dhGJyVXoHQRGHD3,31,1,1,More Reliable,1,4,4,6,5,6,2,4,3,3,3,3,6,6,5,5,6,6,2,2,2,2,2,2,4,6.333,32.717,33.755,16
1/24/2019 11:47,R_1odmIXAN848gYLa,32,1,1,More Reliable,2,5,2,2,4,4,3,3,4,3,3,4,4,4,4,6,6,4,4,3,3,3,4,4,4,9.016,72.033,74.652,20
1/29/2019 11:41,R_12PVSeKdIe4mljm,33,1,1,More Reliable,1,2,2,,,,7,6,6,7,7,7,6,5,4,4,7,2,1,1,1,3,2,1,4,5.321,32.862,34.361,14
1/29/2019 11:51,R_2an7qXfgLvItvD0,34,1,1,More Reliable,2,3,2,4,3,2,4,4,5,3,3,2,1,3,3,3,3,4,1,1,2,2,2,2,1,5.445,63.176,65.024,21
2/5/2019 11:47,R_p45lcbiEDFZCCzf,35,1,2,Less Reliable,1,,2,,,,6,6,6,7,6,6,4,2,2,3,2,2,2,,2,2,2,2,3,11.561,45.944,47.058,14
2/5/2019 11:57,R_2aLC9R8bbMMFNSF,36,1,2,Less Reliable,2,4,3,3,4,3,4,3,4,4,3,3,4,4,3,3,4,2,4,3,4,4,4,4,4,7.8,95.129,97.417,26
2/6/2019 7:57,R_3Ooml83t2vUI7YS,37,1,2,Less Reliable,1,4,3,5,5,1,6,4,2,5,3,2,4,4,3,7,7,3,2,4,1,3,4,2,2,4.799,44.845,46.634,16
2/7/2019 11:49,R_3Eb9FuZJmzhKMWT,38,1,2,Less Reliable,2,3,4,4,5,1,4,4,5,4,5,4,5,3,4,5,4,1,6,6,5,6,6,6,5,2.897,27.492,28.223,41
2/7/2019 11:46,R_0UIE71NmWcLFfmF,39,1,1,More Reliable,1,5,4,2,3,2,3,2,2,3,2,2,2,6,3,3,2,2,2,2,2,4,3,2,3,10.761,55.463,56.439,19
2/7/2019 14:10,R_pEPQpnaX7sG8rwl,40,2,1,More Reliable,2,3,2,4,3,2,4,4,5,5,5,5,5,2,2,2,2,2,5,4,5,5,5,5,5,2.832,55.737,56.85,23
2/8/2019 10:36,R_ddtss1gIVqv06CB,42,2,1,More Reliable,2,5,4,3,3,4,5,5,4,5,5,5,4,5,5,5,5,5,2,2,2,2,2,2,4,12.318,70.991,72.697,15
2/8/2019 10:27,R_3HSotoA3YxMvdzc,43,1,2,Less Reliable,1,1,1,1,1,1,6,6,5,6,6,6,5,5,4,6,6,3,2,2,2,2,2,2,2,6.149,55.148,58.867,40
2/8/2019 11:18,R_2fiZEpJxuYV4Jpd,45,2,2,Less Reliable,1,3,5,5,5,5,2,2,2,3,3,3,2,2,3,5,6,6,5,2,3,2,3,3,4,3,,,
